id_indiv,id_territoire,id_legis,id_mandat,id_inves,id_motif_deb,id_motif_fin,remporte,id_suppleant,date_deb,date_fin
PA719364,PO717670,15,1,,1,3,True,PA719368,2017-06-18,2022-06-21
PA795438,PO792604,16,1,,1,0,True,PA795442,2022-06-19,
PA610354,PO644953,14,1,,1,3,True,PA643078,2012-06-20,2017-06-20
PA720268,PO717908,15,1,,1,3,True,PA720272,2017-06-18,2022-06-21
PA1009,PO230806,12,1,,1,3,True,PA267501,2002-06-19,2007-06-19
PA760658,PO718410,15,1,,20,3,True,PA760660,2018-11-18,2022-06-21
PA2272,PO384592,13,1,,1,18,True,PA344299,2007-06-20,2011-09-30
PA2272,PO230760,12,1,,1,3,True,PA1583,2002-06-19,2007-06-19
PA303108,PO384468,13,1,,4,6,True,,2007-06-20,2012-06-16
PA333975,PO384566,13,1,,1,3,True,PA343974,2007-06-20,2012-06-19
PA267673,PO230896,12,1,,1,3,True,PA267674,2002-06-19,2007-06-19
PA267673,PO644880,14,1,,1,3,True,PA643005,2012-06-20,2017-06-20
PA267673,PO384728,13,1,,1,3,True,PA267674,2007-06-20,2012-06-19
PA267673,PO718340,15,1,,1,17,True,PA721538,2017-06-18,2020-09-30
PA2925,PO230502,12,1,,1,3,True,PA631,2002-06-19,2007-06-19
PA2925,PO384334,13,1,,1,3,True,PA631,2007-06-20,2012-06-19
PA794530,PO792122,16,1,,1,0,True,PA794534,2022-06-19,
PA672,PO644961,14,1,,1,3,True,PA643044,2012-06-20,2017-06-20
PA672,PO718492,15,1,,1,3,True,PA721304,2017-06-18,2022-06-21
PA1592,PO644753,14,1,,1,3,True,PA642905,2012-06-20,2017-06-20
PA1592,PO230767,12,1,,1,3,True,PA267222,2002-06-19,2007-06-19
PA1592,PO718104,15,1,,1,3,True,PA642905,2017-06-18,2022-06-21
PA1592,PO792208,16,1,,1,0,True,PA642905,2022-06-19,
PA1592,PO384599,13,1,,1,3,True,PA267222,2007-06-20,2012-06-19
PA719600,PO717732,15,1,,1,3,True,PA719604,2017-06-18,2022-06-21
PA719600,PO793006,16,1,,1,0,True,PA793972,2022-06-19,
PA267129,PO230446,12,1,,1,3,True,PA267130,2002-06-19,2007-06-19
PA1579,PO384796,13,1,,1,3,True,PA347060,2007-06-20,2012-06-19
PA1579,PO644947,14,1,,1,3,True,PA1760,2012-06-20,2017-06-20
PA1579,PO230964,12,1,,1,3,True,PA267881,2002-06-19,2007-06-19
PA267698,PO384389,13,1,,1,3,True,PA341616,2007-06-20,2012-06-19
PA267698,PO230557,12,1,,1,3,True,PA267699,2002-06-19,2007-06-19
